1,agreeable,-330.8456,-40.49287,682.87964
2,man,-170.6422,-140.3277,725.9771
3,old,-221.881,-284.53528,549.34875
4,person,-242.57794,-77.67061,586.67944
5,anything,347.59705,-219.45644,124.89179
6,short,182.59111,-433.8751,128.60617
7,arm,275.40378,-499.60898,238.90332
8,round,256.69818,-640.1792,466.37598
9,aunt,-476.31433,-260.95203,816.9061
10,first,-275.43903,-313.05396,692.37726
11,bad,-280.542,-57.792973,516.10675
12,air,-434.66022,-418.40237,395.69894
13,boy,-48.44276,-218.19315,572.3771
14,beautiful,105.38868,-384.12183,856.8486
15,black,-93.867325,-556.43506,828.9848
16,face,222.27628,-502.45615,512.22424
17,letter,46.367165,-586.6502,968.35254
18,little,79.66297,-396.47336,458.66934
19,young,96.49076,-71.76576,697.65796
20,best,-271.3682,-440.26633,436.8699
21,course,-281.66217,-425.67044,162.97627
22,friend,83.46392,-238.2294,521.768
23,love,-284.69293,-268.2389,327.1819
24,part,-320.89233,-599.9056,566.89355
25,room,-99.73855,-677.6507,540.92804
26,thing,-95.585464,-411.6341,760.27783
27,time,-165.08463,-396.63644,431.27655
28,way,104.869156,-492.6831,270.9743
29,better,304.4247,-139.81267,522.74945
30,heart,382.31522,-28.411243,460.23364
31,mind,319.78482,-282.11215,535.4198
32,place,-42.9889,-291.4286,325.69122
33,right,240.64035,-349.13132,255.15396
34,state,383.37442,-353.5416,720.61316
35,woman,244.4539,-155.52031,684.33514
36,word,143.28746,-335.6634,796.9768
37,door,-80.54178,-665.4777,382.9148
38,eye,95.739044,-746.9314,650.87085
39,bright,-86.629486,-543.99567,486.2846
40,evening,-127.26458,-563.0284,291.92566
41,morning,-427.23212,-359.485,465.4483
42,certain,-279.26108,-198.85243,493.08182
43,day,-297.38278,-130.25784,410.90018
44,other,-73.285835,-423.25336,295.48907
45,child,87.549545,-51.19722,507.08417
46,happy,-120.74427,-58.913387,518.0469
47,common,-230.11647,-300.0688,851.40424
48,dark,-93.98178,-802.33,705.2291
49,kind,134.7879,-461.38947,717.1357
50,night,-53.802933,-756.4461,771.98755
51,dear,42.802868,-93.872765,577.8308
52,good,74.96896,-366.77048,646.82513
53,home,92.619965,-194.43549,279.29877
54,mother,194.18147,-45.347977,695.5569
55,pretty,201.13861,-294.7148,619.5919
56,open,175.83635,-742.58344,261.8934
57,early,-287.13382,-190.61478,312.54733
58,fire,228.12144,-732.7699,759.598
59,full,439.6709,-372.51315,573.3929
60,great,-123.05841,-647.6609,720.50903
61,master,56.31473,-266.07407,948.92377
62,moment,-375.40192,-409.14062,766.8619
63,work,-261.23795,-356.28317,1002.96576
64,general,-200.99414,-660.42615,165.33421
65,fancy,-280.5307,-770.0392,27.61657
66,voice,2.7790747,-760.29297,405.88998
67,head,23.43043,-497.5985,607.5623
68,hope,304.70935,-551.1834,471.4978
69,long,80.363716,-620.5586,740.38086
70,greater,-546.7937,-567.2625,465.46405
71,hand,132.75491,-642.559,493.5677
72,hard,-67.4158,-422.46655,997.1463
73,red,29.822264,-674.03436,599.911
74,life,23.308638,-326.95526,792.2871
75,glad,514.1087,112.35989,427.43967
76,large,252.9365,-679.92896,666.91156
77,new,348.00626,-515.64136,615.74066
78,white,170.70273,-579.75696,774.8363
79,late,138.51985,-48.376205,392.15445
80,whole,16.21999,-232.36658,201.06163
81,light,140.28311,-569.0252,316.72473
82,manner,-179.27925,-405.65488,146.53918
83,bed,308.69214,-361.50635,330.53033
84,house,-32.018,-401.8549,187.24283
85,low,224.6789,-555.6877,644.943
86,money,-140.7387,-63.207592,448.95038
87,ready,81.52248,-291.00165,213.33325
88,small,94.05238,-668.02795,337.2351
89,strange,247.04694,-432.2564,659.70013
90,thought,287.6774,-131.99341,390.99915
91,lost,-440.9509,6.2471256,345.4876
92,alone,-274.84598,27.056082,861.0506
93,nothing,543.20886,-257.0858,457.69525
94,miserable,-140.51987,-226.04129,423.85217
95,natural,-354.93066,-346.8135,78.48597
96,half,726.6315,-209.10713,432.64694
97,wrong,499.81204,-451.48352,350.76306
98,name,-458.4819,-158.22697,586.4535
99,pleasant,-280.10873,-385.96985,271.11365
100,possible,190.76205,-161.43268,195.06816
101,side,117.35593,-298.31125,2.0144057
102,perfect,124.993965,-257.28683,984.91473
103,poor,22.408081,-180.17593,697.15375
104,quiet,-24.769112,-638.3946,439.24698
105,same,-131.05922,-465.94565,619.34753
106,strong,-236.24954,-657.4945,602.47906
107,something,416.84595,-548.768,488.33798
108,true,457.8925,-185.75319,793.2889
109,usual,-279.88678,-605.423,340.51334
110,family,8.519879,-131.29007,45.2123
111,world,84.675865,-211.79402,-56.585415
112,year,-477.20386,-206.31714,566.78424
